𒀭	𒀭	013	ìl, èl, an	AN, DINGIR	Caplice1
𒈾	𒈾	070	na	NA.GADA=nāqidum; NA.RU=narûm	Caplice1
𒌝	𒌝	134	díh, um	UM, UMU=ummu	Caplice1
𒂍	𒂍	324	pid/t/T, bit/T, é, (é)	É=bītum, É.GAL=ekallum	Caplice
𒀭	𒀭	013	ìl, èl, an	AN, DINGIR	Caplice1
𒈾	𒈾	070	na	NA.GADA=nāqidum; NA.RU=narûm	Caplice1
𒌝	𒌝	134	díh, um	UM, UMU=ummu	Caplice1
𒄿	𒄿	142	i, ná, nát	I=nadû	Caplice1
𒂍	𒂍	324	pid/t/ṭ, bit/ṭ, é, (é)	É=bītum, É.GAL=ekallum	Caplice1
𒊏	𒊏	328	ra      ra, ra	RA	Caplice1
𒃲	𒃲	343	qal, kál, gal, GAL	GAL=rabûm	Caplice1
𒁍	𒁍	371	sír, gíd/t/ṭ, qíd/t, bu, ší, pu, bu	GÍD(.DA)=arkum	Caplice1
𒈨𒌍	𒈨𒌍	533	meš	ME, MEŠ	Caplice1
𒀀	𒀀	579	a, a, íd	A(.MEŠ)=mû	Caplice1
