𒌺	𒌺	040	èr, qàl, ìr	ÌR, ARAD	Caplice2
𒋾	𒋾	073	ṭì, dì, ṭe~6~, te~9~, ti	TI, TI(.LA)	Caplice2
𒅀	𒅀	142a	ii, iu, ie, ia, ja, je, ju		Caplice2
𒌉	𒌉	144	tur	TUR, DUMU	Caplice2
𒀜	𒀜	145	ad, ad/t/T, àb/p		Caplice2
𒂵	𒂵	319	ga, kà, qá	GA	Caplice2
𒀉	𒀉	334	id, ed	À	Caplice2
𒉿	𒉿	383	wi, ew, aw, uw, wu, we, pe, wa, pi, iw	PI, GEŠTU	Caplice2
𒅆	𒅆	449	ši, lim, pàn, igi, lì, še~20~	IGI, LIM	Caplice2
𒈝	𒈝	565	lum, núm, kúš, gúm, kús, lu~4~	SIG~4~	Caplice2
𒀜	𒀜	145	ad, ad/t/ṭ, àb/p		Caplice2
𒌺	𒌺	040	èr, qàl, ìr	ÌR, ARAD	Caplice2
