𒀸	𒀸	001	ṭil, rum, rù, ina, aš, in~6~, dil	AŠ, DILI	Caplice8
𒆰	𒆰	072	kul, qul, zir, gúl, zar~4~	NUMUN	Caplice8
𒍣	𒍣	084	zi     zi, sé ṣí, ze, ṣé, sí, zi	ZI	Caplice8
𒄀	𒄀	085	ge, qì, gi, qè	GI	Caplice8
𒁴	𒁴	094	dim, tì, tim, ṭim		Caplice8
𒂗	𒂗	099	(verticals only recognizable from the heads)In ligature with dingir EN is often written likedingir.endingir.en, (in~4~), en	EN	Caplice8
𒁯	𒁯	114	dír, (ṭár), dar, tár	DAR, DAR	Caplice8
𒌫	𒌫	203	úr	ÚR	Caplice8
𒂊	𒂊	308	, 'e, e		Caplice8
𒊬	𒊬	331e	sar, šar	SAR	Caplice8
𒂡	𒂡	152	šìr, ḫir, sì	BÀD	Caplice8
𒀹	𒀹	360	iš~8~		Caplice8
𒊺	𒊺	367	še	ŠE	Caplice8
𒅁	𒅁	535	eb/p, ib/p	URAŠ	Caplice8
