𒐀	𒐀	002	hal, ḫal, ḫala		Caplice6
𒈬	𒈬	061	mu, -i~14~, -ia~5~, pap, bab/p, kúr	MU	Caplice6
𒀝	𒀝	097	ag/k/q		Caplice6
𒋳	𒋳	126	šum, šu~14~, tà, tag/k/q	TAG	Caplice6
𒅋	𒅋	205	él, il		Caplice6
𒌍	𒌍	472	iš~5~, sin, és, bà, iš, eš		Caplice6
𒁉	𒁉	214	pí, bi     bi, pé, alsokaš, gaš, kaš, bi, bé, kás	BI, KAŠ	Caplice6
𒉌	𒉌	231	, lí, zal, ṣal, tíq, né, ni, lé, ì, dik/q	Ì	Caplice6
𒅈	𒅈	451	ar		Caplice6
𒌍	𒌍	472	iš~5~, sin, és, bà, iš, eš		Caplice6
𒈨	𒈨	532	mì, me, méš, sib/p, šib/p	ME	Caplice6
𒋙𒀭	𒋙𒀭	546	sal, mim, rag/k/q, šal, mám	MUNUS, MÍ	Caplice6
